id,OS_x,OS_y,GPS_lat,GPS_long,w3w,comment
1,543095.028,263949.185,52.255124,0.094998,                                                  ,                                        
2,543177.953,263903.445,52.254692,0.096192,                                                  ,                                        
3,543159.283,263890,52.254576,0.095913,                                                  ,                                        
4,543186.352,263886.153,52.254534,0.096308,                                                  ,                                        
5,543201.75,263891.729,52.254581,0.096536,                                                  ,                                        
6,543122.266,263936.736,52.255006,0.095391,                                                  ,                                        
7,543090.495,263925.838,52.254916,0.094922,                                                  ,                                        
8,543102.965,263932.497,52.254972,0.095107,                                                  ,                                        
9,543031.329,263980.246,52.25542,0.094078,                                                  ,                                        
10,543051.298,263949.776,52.255141,0.094358,                                                  ,                                        
11,543139.801,263920.478,52.254855,0.095641,                                                  ,                                        
12,543186.021,263895.42,52.254618,0.096307,                                                  ,                                        
13,543033.749,263993.476,52.255538,0.094119,                                                  ,                                        
14,543075.251,263922.931,52.254894,0.094697,                                                  ,                                        
15,543034.442,263944.027,52.255094,0.094109,                                                  ,                                        
16,543147.793,263895.298,52.254627,0.095747,                                                  ,                                        
